,January,February,March,April,May,June,July,August,September,October,November,December
2001,8.4,8.7,9.2,8.9,7.4,8.4,7.7,7,8.7,11.3,8.8,8.3
2002,11.1,13.9,9.9,9.1,9.9,9.9,7,6.3,6.2,8.4,9.5,8.4
2003,11.2,8.9,8.7,8.5,10,8.6,8.5,7.1,7.2,8.5,10,9.1
2004,10.2,9.4,9.6,9.3,6.9,8.7,7.6,7.4,10.4,9.6,8.3,10
2005,13.2,8.9,8.7,9.7,9,7.4,7.3,7.5,9.2,9.5,8.6,8
2006,8.3,8.4,9.6,9.2,8.7,7.3,7.3,8,8.4,9,12.1,11.7
2007,13.6,8.7,10.6,7.4,9,7.4,8.3,8.2,8.5,7.1,9,10.3
2008,12.1,10.8,11.6,8.6,7.3,8.5,8.2,8.5,7.3,10.9,9.6,8.4
2009,10.1,7.7,10.3,8.1,9.9,6.8,8.6,9.6,8.6,8.5,11.7,7.6
2010,7.9,6.4,8.6,7.9,6.7,6.6,9,7.6,8.5,8.8,8.9,6.2
2011,7.7,9.8,7.2,7.8,11.1,7.7,6.7,7.2,10.4,10.5,9.9,12.4
2012,10.4,8.8,7.4,8.1,7.4,8,7.1,7.3,9.1,7.1,8.2,9.3
2013,8.9,8,8.4,9.8,9.1,7.6,6.4,7.7,7.4,9.3,8.1,12.5
2014,10.6,13.2,9.8,8.2,7.5,6.2,6.9,8.8,5.5,10,7.6,10.3
2015,12.3,9.3,10.6,7.8,9.9,8.4,8.4,8,6.9,6.7,11,13.4
2016,10.8,10.3,8.4,8.3,8,6.9,7.7,8.1,8.9,6.5,7.6,8.8
2017,8.2,10.2,9.1,8.4,7.6,8.9,7.8,7.8,8.2,10.2,8.7,9.2
2018,10.5,9,9.4,8.5,7.2,7,6.4,7.5,9.3,8.8,9.6,9
2019,8,9.2,10.9,7.9,6.9,8,7.2,8.1,7.6,7.7,7.3,9.8
2020,10.6,14,10.2,7.4,7.9,8.1,8.1,7.7,8,8.8,9.2,8.6
2021,7.5,11.4,8.9,6.7,7.6,7,5.6,6.7,6.5,8.9,8.7,8.3
2022,9.1,13.3,7.8,7.4,8.6,8.1,7.4,6.6,7.2,9.4,9.6,8.1
2023,10.1,9.1,8.5,7.7,6.4,6.5,8.7,7.7,7.7,8.5,7.9,10.8
2024,9.5,9.5,9,9.7,6.3,8,6.9,9.3,7.3,8.1,7.2,10.4
